Area_Income,Area_Number_Rooms,Area_Number_Bedrooms,Area_Population,Area_House_Age,Price
50218.70846,7.333554072,6.29,16810.78331,6.118808131,534305.1323
55909.3223,9.289854372,6,22355.23541,5.419562911,936368.9634
74372.81021,6.593045604,2.07,39395.15118,5.500128573,1199193.831
78667.9046,7.780836693,4.1,27637.65655,5.470652207,1233220.009
78699.5151,6.756453856,3.01,22836.60757,5.652783637,1081150.125
53128.18545,5.426902859,2.39,32947.71196,5.180664125,524712.7661
17796.63119,6.713905445,2.5,47162.18364,4.949557006,302355.836
58566.84936,5.034525352,2.17,39705.46496,6.579691453,1026817.4
75537.79451,7.555660721,6.3,32778.19534,7.845215914,1762214.68
46147.05306,7.60683155,4.43,27161.12861,6.623332829,882057.1706
70421.47649,7.634318731,4.44,43183.92849,6.90708297,1744932.211
62614.42062,7.440505218,6.32,26888.57956,5.499309697,1153871.47
66394.87159,7.204639709,3.18,39741.07751,7.069512154,1499988.88
73946.85107,7.537182365,6.35,35261.12702,4.863154306,1109588.38
69144.74571,5.928223473,3.22,19030.61549,7.296224497,980177.3051
77278.69703,6.919204136,2.13,21725.95429,6.238891015,1323952.027
86754.19663,6.252454805,4.02,43017.44076,6.604439819,1662494.736
74399.84098,7.252665322,6.36,41084.66282,6.382452912,1417819.74
49408.19834,5.831738973,3.32,26881.1306,5.825920476,549976.1456
62279.79005,6.30611635,4.12,35263.65314,6.108449991,1054770.981
73078.20409,6.445456691,3.32,54915.96178,5.92390639,1415647.553
72942.70506,7.31988553,6.41,24377.90905,4.786222295,948788.2757
63819.62285,8.022469239,4.09,27825.57206,5.949839471,1159596.519
73265.44989,7.42559746,3.24,21030.96618,8.314761979,1547133.396
68488.13117,7.18252748,5.08,18267.95471,6.116111748,1186688.506
55193.85745,5.096917456,4.01,32537.81877,7.186120667,772111.9721
77434.68924,5.219754029,3.06,36252.34068,6.309271353,1172730.156
66158.88159,6.91174261,2.28,37098.74217,4.476429066,1111085.017
60502.90933,5.731824125,4.23,33579.63151,7.533380986,1022781.171
60910.89379,7.325973781,4.2,43347.804,5.635466738,1274474.546
73931.97852,4.580839921,4.32,36543.06728,6.394107667,1213530.85
59539.94845,7.007676166,5.43,58600.82715,6.018590243,1411730.477
56547.50719,6.515149877,3.13,37585.27458,5.435415183,858685.5659
65950.34702,6.717844306,3.28,40110.8476,5.476513158,1200961.821
74533.16208,5.919230725,4,49481.56581,6.67935313,1520234.229
66422.91905,7.078583745,6.36,31019.32482,7.12207185,1360908.32
74334.49485,6.261535284,4.12,41640.43566,5.419012564,1360920.53
63538.34616,7.168662411,3.27,43282.183,4.764499308,1146532.455
83953.10484,6.898846569,3.08,37283.35765,7.385134534,1789098.521
57279.06358,6.561520216,3.17,44023.79068,5.118108905,852099.464
56553.55025,7.021252354,3.15,29682.40986,5.691129213,746096.7289
75795.57598,7.327325343,6.25,33197.77774,5.786780024,1534479.907
70848.78866,6.766444664,3.27,40458.73587,5.28232502,1215608.531
59787.4045,6.594592279,3.43,32402.10755,5.653120316,941594.3284
64826.37189,8.290419813,4.38,60286.0431,4.010907337,1204598.037
65925.8538,7.070409541,3.28,34171.36007,7.605511954,1597655.258
64419.25264,8.516160048,6.16,39318.17075,6.954422126,1492011.496
58544.4603,7.276308629,4.28,30865.58695,8.562610576,1421216.504
68791.79169,6.704201604,4.11,48423.32244,4.725552228,1132522.901
82061.5652,5.963031884,4.1,36271.4085,4.182828228,1102821.438
80659.52544,7.100753432,6.24,52947.03636,5.436306202,1856211.35
66668.09352,7.863127437,3.35,47075.21223,6.184965339,1687998.933
64721.5645,6.971331701,4.48,36115.81636,5.677637527,1063423.007
65199.98994,6.937127028,3.2,28366.03543,6.445742898,1177289.886
74579.98953,5.521489299,3.07,42806.14664,4.639654131,1173474.379
76273.67033,4.500165348,3.39,46974.57879,7.879751801,1637259.999
67561.94206,7.658576339,4.04,35517.54187,5.251400747,1238938.291
48904.98327,5.44895603,3.38,32960.75307,4.844972531,201898.0866
72145.96721,8.258634923,6.06,28882.90085,6.39862599,1439506.102
70805.61068,5.809147306,3.3,29268.82674,4.443728924,585608.6326
65383.33792,6.640032004,3.46,35114.40246,7.512526779,1294685.159
95450.29309,6.850361008,3.33,39388.51552,6.595060685,2014851.344
73698.69636,6.578352074,4.33,51815.09642,6.372730932,1840236.006
66263.9105,6.736974131,4.41,49829.9515,6.374930066,1441421.913
75394.75958,7.834099801,4.48,22268.07531,6.933352468,1498640.551
65984.75064,6.31648002,2.38,21867.47694,6.512270085,954746.5764
66477.26279,6.038487979,2.37,32458.9867,6.982151725,1124635.932
69284.25964,7.173425885,3.45,40282.72428,5.347447091,1169944.248
70404.4961,6.001261362,2.02,37127.9255,5.544083726,1114430.953
74218.48902,6.506374302,4.37,46770.66097,8.069721867,1783534.839
63441.71465,7.064811136,3.22,48061.75267,6.471673727,1302933.248
57493.92457,6.734045416,4.41,47039.21532,6.893260157,1241483.612
81543.77732,5.897052836,2.14,9816.300885,5.503923196,954114.544
78633.97376,7.531143012,3.24,43728.80349,5.465393231,1555320.5
52202.85372,4.414380866,2.23,42165.81246,4.869306181,404976.3659
67980.38878,6.159705222,2.44,25909.0792,5.562938814,1073183.76
78568.44916,6.291600796,2.29,41016.64709,5.47573732,1422195.879
55472.65483,5.855972309,3.2,15353.95643,4.822147136,340605.2113
67579.23479,7.754357545,6.32,21762.94969,5.973219004,1170959.526
61456.1507,6.417572622,4.19,30821.41209,6.882954326,942838.1647
60815.39039,7.984335122,4.11,31233.64935,7.17012853,1401613.92
51217.18116,8.776160034,3.41,47089.47508,5.384841407,1175504.486
63027.67471,5.580905937,2.3,35991.72064,4.855968121,608794.2467
62484.8553,7.322709774,5.13,26882.65179,6.496651466,946943.0362
73923.46627,7.135063347,6.04,58745.31203,7.005505785,1819900.637
79737.60976,6.611096005,2.17,28307.31433,7.315957927,1463130.273
63890.47157,7.916386397,5.49,43416.49782,4.972306568,1252391.18
67310.03695,7.760732555,5.28,43310.61243,7.193792989,1714445.175
73145.73022,7.254217433,3.18,49463.37888,4.096517243,1291759.393
86924.35877,7.738295553,6.32,28719.41089,6.832939699,1809154.289
74384.10563,5.164865476,2.3,17117.44367,7.411486571,1200539.361
67477.78818,7.91617166,5.1,29763.92535,6.623528293,1300265.21
71202.95692,6.634954066,4.37,34207.39721,4.318869133,997448.7281
85845.3178,9.468766369,3.46,46477.67868,6.743652961,2152959.409
72138.87048,8.485778263,5.45,35799.63827,7.163640935,1629983.847
44806.00516,4.725325117,3.1,57390.89007,4.494570528,497579.4466
67504.17846,5.894411949,4.36,37441.12054,5.329798509,890112.5493
74706.10053,5.661064127,2.05,39680.60932,5.003327764,1064685.699
68898.34591,7.871352644,6.39,39515.57156,6.787648529,1530124.016
58118.01816,5.650900286,4.36,35598.39044,8.137214471,1246246.828
77643.28309,5.381038359,4.45,35512.25505,6.070115922,1240754.932
67769.82559,6.761631408,4.22,33254.60341,8.074693668,1760734.69
74411.05989,7.210123361,6.44,43537.50295,5.534627544,1393746.76
73101.0788,8.920333221,4.35,29497.97129,4.104129923,1172385.898
58708.41716,6.262825884,4.07,15969.92604,5.083861036,483986.109
63876.05991,7.187432975,3.37,38052.87644,7.080219326,1388530.157
68343.15409,8.425112895,6.2,40653.87007,6.39244379,1721739.384
73064.97996,7.204368895,6.19,30699.33971,5.994062799,1276448.792
67367.26808,6.690894899,2.49,32547.27253,6.774710809,1161742.677
66547.18175,5.305000412,2.04,16741.96499,6.350672042,786407.9451
73313.54538,8.492901229,4.46,37808.99667,6.414723236,1604920.973
47681.36173,7.788267986,5.13,50908.97891,6.890508224,1230149.137
67910.94913,6.675937268,4.32,31379.78297,6.445851907,1051644.554
69277.89125,7.811724471,5.15,43717.91309,6.142591681,1415073.614
67946.71468,5.671136343,3.21,35197.94257,5.403175673,1043483.915
90975.11327,8.320351986,6.45,44426.21365,4.740683035,1544379.748
61885.54644,6.91419577,3.22,48726.9513,5.405265969,1352135.967
69401.84722,8.097044285,3.44,29293.07405,7.042354995,1505727.431
72969.12127,8.076943604,4.2,31755.72136,6.188575726,1416965.979
75582.45976,6.774986419,4.33,31946.30387,5.506473429,1046721.976
56241.22677,6.818670754,2.18,32745.36812,5.623087016,939040.0036
79412.83547,7.481321112,3.26,17568.73376,6.087360169,1383031.332
79618.23685,6.669888411,3.49,29636.50711,4.566166101,1072503.238
67019.07405,7.3313301,6.26,24997.10871,6.487943167,1134397.758
56063.48087,5.385339778,4.14,39129.2967,5.10693512,734827.508
57077.5803,6.952026674,4.27,33393.9166,5.775467041,991892.3175
75954.81825,7.418750603,5.04,34467.7587,4.289916281,1057252.583
52575.81517,7.173698882,4.06,41828.57962,7.133719417,1237224.859
63312.80567,8.199615241,4.41,43230.35216,6.139115452,1442632.541
82526.9621,7.748248953,4.46,43947.68026,6.453073406,1877402.32
73204.94213,7.311912321,6.4,35090.50081,6.640915863,1394518.415
56357.19314,5.240300887,3.25,38061.9983,5.707903109,953939.3299
71316.62465,7.088992691,5.33,21651.69941,7.107767687,1219778.034
75046.8482,8.877240042,3,32468.03115,4.983084629,1287325.382
84474.16006,5.935909326,2.47,38677.81515,6.970854746,1739893.555
68162.68393,6.69735801,3.07,31843.87634,6.962206716,1213382.223
62784.33295,4.652717554,3.31,35122.38947,7.572350215,1007478.748
67009.81567,7.610720856,3.22,39737.12261,6.849769937,1528756.126
67437.25036,6.703917223,2.05,29356.22337,6.767363237,1182459.772
65967.76931,7.777279444,3.14,35799.96255,6.847724976,1474546.762
42816.30589,7.04524851,4.18,47457.66221,7.603999923,1078016.94
83347.6697,5.475252653,3.14,48226.71893,5.468158427,1453381.624
81699.88,6.476007341,4.41,39527.04856,5.47980183,1495012.965
56143.78866,6.668979774,4.04,45084.03666,4.580122446,714148.4148
59513.83492,5.57471435,3.18,44162.27921,4.885131771,894292.0474
78379.41224,5.681833507,3.2,31357.38821,5.985697151,1159841.831
70877.37574,7.213659075,5.07,36033.42685,6.766877154,1195986.299
61526.97445,9.180401429,6.11,27307.94803,6.593962539,1381430.63
65316.99602,6.733084867,2,55799.49748,7.414875231,1534889.853
76268.81833,6.147907596,3.17,38649.85239,6.942797867,1494125.33
48531.36423,8.517401059,5.3,39731.15056,6.863184039,1356146.261
82906.6548,5.767366136,4.26,38820.48194,5.901451656,1454943.074
63117.84405,5.636779395,2.31,43091.84514,4.940396705,774118.1878
75860.86115,4.788380207,3.48,41003.88008,3.69089057,889113.2389
68844.76425,6.916808181,3.29,48392.49736,4.860453,1211102.211
52446.26686,7.429639244,3.11,32934.5532,5.694610808,658646.1847
69342.70684,7.805903702,3.36,37082.37422,5.804686752,1400104.871
55932.05268,6.020201205,4,42488.31,7.218309145,1262017.792
53306.92214,6.194794325,2.15,39063.33871,4.632267718,553077.2126
56976.5464,7.259286709,3.08,46375.50249,6.061212241,1203247.89
51296.48863,7.831766476,6.18,32078.9068,6.155259764,1115323.015
63995.00489,7.090050637,5.25,24748.26827,7.59753322,1301881.417
71915.14669,5.521216371,4.47,27714.29366,6.279753854,1006687.387
62137.59721,7.235191288,5.21,19045.61951,5.440725043,749383.0726
78050.96983,6.290305888,4.15,27789.74852,5.234044768,1075596.587
67371.42086,6.624951289,4.37,24797.76476,5.333820712,739870.7936
59362.76638,8.003006746,3.49,44723.35373,7.482630242,1442945.145
57003.10964,6.356258719,3.14,29594.69337,7.01058346,828497.0671
68989.31221,7.879588245,6.37,32629.60383,6.075426018,1373290.861
70969.9021,6.396268006,3.18,24833.64615,4.901817799,925566.3313
82251.65301,7.636653827,6.49,18408.79864,7.741091334,1552536.764
71306.4573,6.68823017,2.04,43284.39716,5.773717163,1335904.501
70921.56857,6.375371505,3.28,29390.21727,5.665185385,960808.2911
70739.4601,7.166501646,6.28,35148.66775,6.710699576,1405933.019
58097.84182,6.144038119,3.04,19903.00008,6.386347996,619087.6936
51273.50885,6.888205629,2.09,53811.89491,7.032317226,1329273.228
76326.59232,4.936329009,3.44,42779.8313,5.02469487,1261843.844
63584.04588,6.029160867,4.29,46340.18858,5.832827571,1175781.418
86340.28729,6.183440077,3.01,35630.56045,4.930051,1437053.557
79471.23882,8.197289421,6.21,36616.16883,5.867269778,1594415.226
55879.50379,5.370386614,2.07,37360.06356,6.407946258,931357.9954
40503.54133,6.566175293,3.14,45979.47754,6.881778623,798639.6542
83394.40783,5.905024344,2.08,30487.52462,5.601486668,1451739.625
64501.22645,7.293476754,5.33,43869.30998,6.001641691,1278991.689
59569.53734,7.325379539,4.24,31294.65246,6.279536891,885920.5532
69280.31627,6.923618932,4.33,40290.91149,6.861548028,1425632.542
66342.48968,6.94910892,3.06,11792.81516,5.857266082,901881.7427
73367.04599,9.054709888,5.25,23684.78795,6.173290661,1521730.791
57122.22484,5.929733805,2.4,41972.77154,5.70765003,716771.0057
61978.84805,8.437966416,5.37,56957.18775,7.912276047,1696717.107
54299.96882,6.851535828,2.49,39512.66371,6.635899749,819598.0078
71424.40601,8.522538378,3.49,37242.56159,5.59893322,1584213.957
57353.15436,5.678555483,4.44,16906.42172,8.07544792,798892.515
44731.1098,8.942797164,5.12,39633.47304,4.188658329,601973.0017
76175.49393,9.524973612,4.28,30760.99496,4.524140652,1456486.293
66574.70999,6.844150153,2.17,69575.44946,5.550264729,1702406.039
91731.15438,7.94387972,6.3,33102.09542,5.184810712,1566471.008
75487.0326,7.737095684,4.02,41105.39063,6.453931678,1592210.176
58088.43813,5.790005274,4.21,51925.41161,6.017831001,937628.3467
76319.2186,6.294054951,3.45,48026.30837,6.873130198,1558547.578
60575.16244,6.964616002,2.29,32158.9679,5.907565592,1156329.274
69607.13367,7.833081192,3.35,34609.04022,7.077680826,1514349.692
67056.84048,7.163517523,5.25,25134.68148,5.222168522,1039107.326
60640.93188,5.355113624,2.32,43119.54066,5.165921529,809089.6719
69031.90888,5.501755138,3.23,15660.40301,5.779976246,675536.3915
80356.20939,9.710216896,5.02,16215.41728,4.660417824,1373589.804
60081.17662,8.204552838,4.3,60195.74627,6.768523696,1690091.019
61881.47931,7.114083652,5.38,35597.37289,6.519463053,1253370.149
59590.96529,5.736029404,2.03,24153.88252,6.891731041,774073.5619
89831.31929,7.719652764,6.37,45335.36028,5.20196372,1741959.834
72175.2835,6.828247305,2.09,50305.79541,7.421738946,1705762.788
67589.04884,6.060884656,2.34,33203.38392,6.21484263,1071109.917
77300.03144,6.936548024,4.49,29499.04095,5.260974726,1118047.991
65382.88832,7.648386114,6.08,41723.05474,5.39681918,1165253.033
71145.2127,6.765832563,2.31,35642.53034,6.152109975,1280910.19
61053.038,5.687062576,2.02,40675.77383,5.787890692,841122.8824
65125.94787,7.057757992,4.19,37642.78527,5.928483443,1228810.745
51949.2957,8.051118256,5.28,35336.06305,6.209803037,1086072.071
75897.98884,6.768229399,3.33,34162.67061,5.316933287,1204372.295
71468.3505,6.361238405,3.35,43269.03337,6.158043453,1345004.12
53287.99207,7.162322376,3.32,45152.01427,5.755609227,1116902.345
61503.0406,7.015317326,3.12,37650.86971,5.13081313,822431.7303
68896.04856,8.365074594,4.47,28394.60978,6.38632518,1360623.694
91159.41833,7.373850919,3.01,54861.0911,6.536045428,2298379.487
63375.34848,7.883780977,3.41,45633.19224,6.67234006,1400498.268
59695.57147,6.032795265,2.04,20702.80267,5.44538285,566848.7321
63183.88974,7.541807496,5.08,58691.20066,5.570561937,1367586.278
61177.80813,7.088385883,5.13,26396.29111,6.998928282,1113373.52
58642.31122,6.275371125,3.42,35131.57815,5.209923093,721974.5515
53112.27806,6.325363471,4.25,40367.38387,5.138651815,685503.9903
40366.61629,7.6171181,5.07,16349.36539,4.902939589,152071.8747
62207.47581,7.002864274,5.38,34317.53831,7.297532823,1280431.574
57477.95076,7.207172822,6.35,23649.96887,5.405444821,568703.1838
55630.48896,8.933119985,6,38943.09599,6.283122836,1200764.844
72399.30556,7.552269769,6.15,41662.00007,6.740676312,1607161.637
89868.89193,7.234479887,5.45,30101.72457,4.504274579,1421715.415
59801.49103,4.954387464,2.03,33534.9264,4.210462758,311111.2006
61957.1543,7.472966963,4.19,38448.49148,7.841080502,1338044.383
71123.43282,6.16923837,3.43,44020.1441,6.685810937,1417870.983
55202.70547,8.259044318,3.4,28424.95165,4.375933244,796389.438
79298.12201,5.336841156,3.44,15753.26664,7.188208135,1310207.133
65070.56701,5.579766055,4.3,24852.56515,7.143558507,994897.7278
68494.98255,7.265462684,5.46,13998.57121,7.230364893,1202987.829
55702.20538,5.648555397,3.08,40087.79561,5.551957132,768751.9005
57233.60849,6.036621215,2.27,37374.91924,7.893834161,1211655.305
85313.88545,6.633757595,4.21,23974.43557,6.033157792,1540418.222
60224.65171,5.428846667,3.23,42182.86211,4.675940133,712228.4243
73873.81919,6.630909086,3.17,33336.32735,6.789870886,1525533.407
63149.48523,5.518835024,2.04,37578.84687,7.156294433,1034218.402
58593.79404,6.333616932,2.04,39287.5279,4.662980906,874103.6606
73839.87242,8.274063584,4.19,47602.51021,6.446181952,1912825.285
75984.83111,7.887775836,4.31,42248.68586,6.725721311,1754770.59
82145.36942,6.876150329,4.23,25736.09605,6.54096795,1340066.913
69017.1828,5.783612779,3.11,55830.75284,5.777106148,1446756.863
75429.17898,7.570447111,5.48,36769.24968,6.818759161,1592768.242
69513.53892,7.641107312,6.08,14054.05343,4.122901533,660364.9813
57782.41708,6.332626733,2.46,33426.84938,5.159300978,861321.5807
74372.13845,8.184510518,6.35,34321.96015,6.56237959,1648246.774
63522.12193,6.952195766,2.04,31995.52529,5.538042849,977135.8857
61193.71483,9.086807717,3.21,33196.05984,7.647150882,1591934.19
60316.79073,5.564352875,4.12,33831.89363,4.308730208,695386.331
58469.9122,4.807387458,2.26,33547.98482,5.408899965,568977.0728
75179.90299,7.201635799,5.13,23978.0933,4.595920956,935590.8043
56186.96329,8.960742515,5.2,41855.65474,3.992027946,984311.7745
73225.0663,6.868603895,2.3,61830.53972,5.933498536,1796245.808
74338.92771,5.186852796,4.07,18057.17178,5.084714868,720080.2321
52188.11873,5.807401479,4.03,42495.75468,5.636892091,783808.4025
83311.10394,8.297556745,3.16,30386.36631,6.690551405,1598615.974
72288.6752,7.979877824,5.11,39146.9205,6.599434697,1564125.238
54866.21569,7.285434147,3.46,35192.84403,6.986763275,929480.6299
85759.65776,8.965705366,6.22,25897.75802,4.789357418,1414495.343
59453.34204,7.482571479,6.08,29697.64481,6.29111354,837668.1026
69878.7742,6.249192235,4.02,26814.17475,7.218330987,1197515.454
59243.29763,7.058764828,4.26,51405.35248,6.729520552,1232004.83
57853.3302,7.316551003,4.36,47688.2266,6.500094306,1285933.408
66643.31463,7.698007536,4.41,30971.15711,6.392834115,1361521.983
69248.29959,5.652694477,2.21,35990.10339,5.958735587,1090826.374
75129.72116,7.447318296,3.37,41620.2893,6.287836931,1475319.699
76209.99531,5.464338971,4.22,22721.6494,7.009045648,1066659.383
69342.37657,8.018121333,3.43,21641.97286,6.069486987,1117432.98
77630.95508,6.829667441,2.29,31739.88912,6.80962742,1420283.559
68929.15807,6.891969493,3.24,172.6106863,7.590878456,840272.8649
70990.80491,4.651974294,2.46,30904.25303,6.014814127,1024907.94
55860.68084,9.02450267,5.12,40335.22028,7.751794757,1494241.226
56380.9884,6.650904529,4.37,43994.24411,5.706260589,1125880.487
64306.33882,7.879677057,4.28,30762.36021,4.806617647,1082455.018
76547.9567,6.974804487,3.08,40564.64489,6.50322147,1554634.995
57101.71705,7.650205974,6.09,41104.46662,5.493161996,1011365.365
76192.65604,7.337589917,6.33,21245.84162,7.303749826,1432756.517
79585.55223,8.430787826,4.32,31773.3374,5.778524695,1612717.553
70759.8558,5.493294013,4.2,25981.831,6.367973326,973299.8618
76907.23816,6.462700239,4.21,21658.40932,5.205508259,679228.9927
64744.94244,8.467599729,6.03,28880.01759,5.900247576,1270999.939
51976.02393,7.375559651,4.42,36360.16875,5.354922556,910211.0189
61252.63767,7.191572627,4.43,40890.26603,5.189911336,1026271.796
58841.14292,6.916338174,4.05,39555.07059,7.754160967,1496729.536
79112.64141,7.8515296,5.27,33771.74049,6.357250993,1490539.058
76056.28911,8.245224408,5.4,28470.70147,6.480979871,1491838.494
52399.64822,8.971111959,3.11,18092.13036,6.804016971,996771.2482
77551.6278,4.679134254,2.03,35834.493,5.535920946,1064854.309
64160.81595,6.534959524,4.05,32339.00628,5.67760881,985749.7874
71167.03414,9.442325018,4.35,35174.87134,7.328943583,1952622.402
84963.66341,6.207145314,3.02,40447.01075,7.068466766,1754969.162
59712.82231,6.979752379,3.23,42601.84262,5.735499522,1122240.364
77733.73119,5.967832307,3.23,32074.57599,5.624500144,1236931.728
85707.07875,6.350156836,4.47,10424.41625,4.374148491,966084.4204
70280.36135,5.012885306,4.4,39662.74187,4.728804322,852268.6717
69330.74122,6.252757358,2,30097.83559,7.31890726,1280669.873
72988.70597,5.74843726,3.36,50566.6448,5.95937925,1190213.513
65697.82067,7.282106847,4.2,28742.12595,5.728201697,1123851.141
76245.21847,7.826124971,3.12,32016.23476,7.955766597,1689120.427
53546.87214,8.343557927,3.49,45504.20369,7.174569183,1573347.788
73643.0573,8.33708535,3.34,43152.13958,6.766853185,1696977.663
84774.45122,5.450658517,2.27,32383.55544,7.019666733,1414286.724
58140.94032,6.649447661,2.27,49337.53152,5.064855375,755292.1144
61881.16372,6.048295389,2.31,21397.4486,6.293585382,714706.4289
75312.25951,6.667365547,4.09,9487.921585,5.364982406,944001.5583
81328.8073,6.908829672,3.01,31231.5444,6.483153394,1523136.485
77931.47646,6.647662431,3.33,23182.60485,6.501686215,1422916.811
84602.59697,7.00842733,6.11,39683.438,7.097245831,1945618.658
72445.0333,6.509449186,2.48,69553.98833,5.488196879,1726719.067
57497.12815,7.524542188,5.17,43204.15762,6.674070665,1051123.833
87266.34023,7.234261404,5,45161.18768,8.248959366,2249122.541
62431.9381,8.599555446,4.48,44115.98342,6.798993828,1523915.145
72107.42807,6.981984299,3,29981.34654,4.54230638,1039517.534
55577.07175,7.162535697,3.47,19560.01241,6.533916122,818057.8953
62327.89441,7.285225482,4.43,43364.42819,5.233977928,1115466.585
73931.14266,6.9812466,2.46,29568.95886,5.662286845,1258178.804
63429.27469,8.441119043,3.31,37998.99693,6.362565275,1435423.708
73423.90295,5.810942512,3.49,34711.78242,5.975373486,1153470.44
75175.87311,5.197253905,2.07,22367.48207,8.561761657,1425603.495
56636.24613,7.863188943,4.5,28139.36846,6.257028601,1048350.692
67665.93963,6.333920562,3.41,24758.48906,6.467126893,1214482.379
65986.81794,6.860860394,2.15,24056.60447,4.531777656,821859.0657
54273.91488,6.798805806,4.44,24233.06146,5.550543628,753652.2718
75547.84162,7.332769653,6.12,40043.10216,3.992420475,1220001.334
70151.08661,7.706580735,5.41,15255.23776,6.724123387,1075675.108
74449.12174,7.392675062,3.1,24837.59073,6.223626136,1396082.352
66919.64032,7.320562834,6.03,18867.78162,7.826435952,1137801.933
68473.86312,6.232295865,2.19,43146.98202,5.74650959,1159953.593
76113.21733,7.736294493,5.07,26481.51177,6.377936931,1487849.876
61212.19548,5.538058083,3.5,32045.55987,6.408500651,1103072.439
59768.80592,7.425903425,3.48,26202.63146,5.805732788,897291.1153
78847.53637,7.027355369,3.26,20653.89831,5.573231808,1214320.574
75735.3429,8.065659921,5.28,37268.26997,5.761755985,1364363.375
77847.34897,7.282521302,3.21,30231.80829,5.23965341,1249092.928
56231.1618,5.014916517,2.47,52657.03375,5.459845342,946479.2349
89163.49859,6.010742815,2.27,44016.14744,4.692855436,1659805.184
62377.06447,7.21840033,4.46,39075.95638,6.289993194,1285399.565
68864.2823,4.9673884,4.17,29802.32138,6.00205394,898281.9025
82440.89576,7.037477117,5.04,27545.52954,6.291501388,1483848.169
60948.88088,6.22497133,2.36,39754.38814,7.161865646,1353488.416
69729.60586,7.24149204,5.11,31719.74264,6.168255827,1268703.811
75491.79999,7.33029276,6.14,26013.68048,6.299268667,1448573.845
80648.06571,5.881851885,3.49,35091.95553,6.35533372,1343605.8
84036.59865,5.740479724,4.21,32766.60197,7.73383489,1511537.745
76590.37671,7.691535725,3.31,40643.07833,5.940325276,1662038.759
63534.45596,8.017692368,3.23,38128.9837,6.46969413,1166673.195
67269.99554,7.472849853,6.39,41780.47369,6.325821835,1375633.373
50887.44007,7.063683439,4.16,47731.01076,4.458997393,839638.461
80597.1118,7.661280263,3.1,34487.57476,6.440796383,1638265.395
66041.12358,8.219394258,5.15,40163.97083,6.493916521,1385400.456
81316.38029,7.204458615,3.36,35589.59472,4.13269444,1153233.241
67877.02913,7.958894134,5.28,43300.95464,5.322287408,1370178.474
69306.95842,6.938908153,2.02,36851.38401,5.562622947,1181877.183
61200.72618,6.23461464,4.23,42789.69222,5.299694,894251.0686
70619.16697,7.935510756,5.15,37865.64855,5.890269353,1421135.815
69910.85188,5.630525332,4.04,38440.73729,5.899946659,1028964.474
64889.21934,7.655452911,3.2,25904.97991,3.727083933,923508.1257
69900.13396,8.366505984,6.34,32679.18766,6.327089456,1599634.465
79045.0398,8.20329527,5.26,24721.95904,5.53968589,1369186.07
76460.22067,6.629940742,4.16,46851.04219,7.030844864,1748782.809
58307.72788,8.308603108,4.07,25509.06978,6.381029538,1150877.735
56679.01602,8.971411852,5.49,40785.0273,5.096643486,1110598.755
58823.05019,7.168189941,4.21,38682.56933,5.711384515,1159207.085
80836.34486,7.421920927,3.02,49864.46977,5.7673672,1811377.221
67710.11298,8.48252252,4.18,25222.46242,5.854378134,1267443.398
